vehicle_id,latitude,longitude
1111,3.4444245,101.5452684
1111,3.4445044,101.5453592
1111,3.4444986,101.5454864
1111,3.444486,101.545593
1111,3.4444854,101.5457346
1111,3.4445541,101.5458506
1111,3.4446689,101.5458686
1111,3.4447852,101.545877
1111,3.4448964,101.5458804
1111,3.4450157,101.5458928
1111,3.4451676,101.5459322
1111,3.4453378,101.5459993
1111,3.4454158,101.5460463
1111,3.4455322,101.5461327
1111,3.4456279,101.5462212
1111,3.4457363,101.5463433
1111,3.4458399,101.5464881
1111,3.4458833,101.5465768
1111,3.445922,101.5466705
1111,3.4459521,101.5467683
1111,3.445969,101.5468672
1111,3.4459759,101.5469612
1111,3.4459805,101.5471362
1111,3.4459784,101.5472565
1111,3.445975,101.5473919
1111,3.4459796,101.5475099
1111,3.4459789,101.5476535
1111,3.4459759,101.5478221
1111,3.4459763,101.5479158
1111,3.4459764,101.5480118
1111,3.445979,101.5481086
1111,3.4459796,101.5482803
1111,3.4459724,101.5484026
1111,3.4459689,101.548511
1111,3.4459652,101.5486058
1111,3.44596,101.5487551
1111,3.4459434,101.5489274
1111,3.4459284,101.5490224
1111,3.4459153,101.5491179
1111,3.4459005,101.549214
1111,3.4458859,101.5493048
1111,3.4458694,101.5493954
1111,3.4458573,101.549488
1111,3.4458419,101.5495887
1111,3.4458211,101.5496835
1111,3.4457932,101.5497792
1111,3.4457594,101.5498665
1111,3.4457206,101.5499504
1111,3.4456797,101.5500376
1111,3.4456343,101.5501269
1111,3.4455652,101.5502097
1111,3.4454871,101.5502887
1111,3.4454052,101.55036
1111,3.4453253,101.5504198
1111,3.445249,101.5504693
1111,3.4451385,101.5505417
1111,3.4450276,101.5505966
1111,3.4449057,101.5505626
1111,3.4448241,101.5504364
1111,3.4447348,101.5502729
1111,3.4446842,101.5501812
1111,3.444627,101.5500938
1111,3.444565,101.5500075
1111,3.4444964,101.5499248
1111,3.444423,101.5498402
1111,3.4443418,101.5497594
1111,3.4442602,101.5496827
1111,3.44418,101.5496116
1111,3.4441005,101.5495435
1111,3.4440243,101.5494786
1111,3.4439535,101.5494186
1111,3.4438151,101.5493164
1111,3.4436914,101.5492398
1111,3.4435925,101.5491818
1111,3.4435004,101.5491346
1111,3.4433976,101.5491068
1111,3.4432688,101.5490893
1111,3.4431418,101.5491084
1111,3.4430392,101.5492184
1111,3.4429736,101.5493935
1111,3.4429504,101.5494932
1111,3.442936,101.5496005
1111,3.4429254,101.5497122
1111,3.4429169,101.5498285
1111,3.4429087,101.5499459
1111,3.4428985,101.5500591
1111,3.4428837,101.5501688
1111,3.4428627,101.5502801
1111,3.4428332,101.5503941
1111,3.4427943,101.5505083
1111,3.4427464,101.5506228
1111,3.4426897,101.5507343
1111,3.4426217,101.5508434
1111,3.4425444,101.5509476
1111,3.4424578,101.5510451
1111,3.4423622,101.5511366
1111,3.4422621,101.5512231
1111,3.442161,101.5513072
1111,3.4420605,101.5513892
1111,3.4419562,101.5514688
1111,3.4418437,101.5515454
1111,3.4417302,101.5516119
1111,3.4416137,101.5516738
1111,3.4414976,101.551732
1111,3.4413803,101.5517882
1111,3.4412607,101.5518397
1111,3.4411348,101.5518818
1111,3.4410045,101.5519124
1111,3.4408706,101.5519304
1111,3.4407405,101.5519351
1111,3.4406149,101.5519293
1111,3.4404956,101.551915
1111,3.4403845,101.5518871
1111,3.4402861,101.5518428
1111,3.4402053,101.551791
1111,3.4400891,101.551709
1111,3.4399999,101.5516461
1111,3.4398758,101.5515607
1111,3.4397644,101.5514636
1111,3.4396358,101.5513359
1111,3.439566,101.5512668
1111,3.4394938,101.5511954
1111,3.4394216,101.5511246
1111,3.4393483,101.5510546
1111,3.4392755,101.550983
1111,3.4392063,101.5509149
1111,3.4391405,101.5508484
1111,3.4390373,101.5507437
1111,3.4389726,101.5506764
